epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,12518.3,0.88605,0.45704,0.91852,0.98963,0.98235,0.99219,0.80365,0.82542,0.34777,0.9289,0.000147045,0.000147045,0.000147045
90,12658,0.89175,0.46231,0.91647,0.99151,0.98467,0.993,0.80392,0.81905,0.33475,0.93178,0.000145963,0.000145963,0.000145963
91,12798.7,0.89075,0.4523,0.92074,0.99095,0.97933,0.99196,0.80346,0.82274,0.33788,0.92975,0.000144875,0.000144875,0.000144875
92,12938.3,0.89184,0.46,0.91973,0.99507,0.98306,0.99376,0.80011,0.83404,0.33753,0.92415,0.00014378,0.00014378,0.00014378
93,13077.4,0.88693,0.45644,0.91799,0.99627,0.97881,0.99314,0.80618,0.80708,0.33881,0.9231,0.000142679,0.000142679,0.000142679
94,13217.2,0.86874,0.44818,0.91113,0.99563,0.97515,0.99391,0.80722,0.81442,0.33737,0.92198,0.000141572,0.000141572,0.000141572
95,13357.5,0.87501,0.44982,0.91432,0.99137,0.98237,0.99284,0.8055,0.82144,0.33732,0.9272,0.000140459,0.000140459,0.000140459
96,13497.7,0.8682,0.45025,0.91328,0.99463,0.9795,0.99353,0.79953,0.82553,0.33634,0.92536,0.00013934,0.00013934,0.00013934
97,13637.7,0.86761,0.45392,0.91155,0.99462,0.97838,0.99287,0.80726,0.81851,0.33958,0.92468,0.000138216,0.000138216,0.000138216
98,13777.7,0.88031,0.44853,0.91361,0.99355,0.98221,0.99259,0.80241,0.81841,0.33741,0.93295,0.000137086,0.000137086,0.000137086
99,13918.1,0.86614,0.44759,0.90896,0.99426,0.98244,0.99391,0.8039,0.81409,0.33246,0.93501,0.000135951,0.000135951,0.000135951
100,14059.1,0.85585,0.44038,0.90398,0.9931,0.98098,0.99232,0.80822,0.80428,0.32985,0.9321,0.000134811,0.000134811,0.000134811
101,14199.8,0.84697,0.44029,0.90773,0.99561,0.98221,0.99364,0.81441,0.81164,0.33052,0.93127,0.000133666,0.000133666,0.000133666
102,14339.5,0.84986,0.43376,0.90897,0.99275,0.98344,0.99236,0.81346,0.79708,0.33085,0.93223,0.000132516,0.000132516,0.000132516
